material_id,formula,formation_energy_per_atom,energy_above_hull,energy_type,spacegroup_symbol,n_sites
mp-1014111,Ni,0.62023913,0.62023913,GGA,P-3m1,2.0
mp-1094136,Ni,0.73985154,0.73985154,GGA,P6/mmm,2.0
mp-10257,Ni,0.026142355,0.026142355,GGA,P6_3/mmc,2.0
mp-567379,Bi,0.0128413875,0.0128413875,GGA,P2_1/m,4.0
mp-1067758,Bi,0.036314235,0.036314235,GGA,P2_1/m,4.0
mp-1182070,Bi,0.0085501775,0.0085501775,GGA,P2_1/m,4.0
mp-23157,Bi,0.000755045,0.000755045,GGA,C2/m,2.0
mp-1182248,Bi,1.027771705,1.027771705,GGA,C2/m,2.0
mp-569358,Bi,0.549852715,0.549852715,GGA,Pmma,2.0
mp-1096851,Bi,0.04950307,0.04950307,GGA,Pmma,2.0
mp-1078637,Bi,0.0513046475,0.0513046475,GGA,Cmce,8.0
mp-568087,Bi,0.16537112,0.16537112,GGA,I4/mcm,4.0
mp-11534,Np,0.0,0.0,GGA,Pnma,8.0
mp-7098,Np,0.0794336587,0.0794336587,GGA,P4/nmm,4.0
mp-22912,NpBi,0.0640572856,0.0640572856,GGA,Fm-3m,2.0
mp-1183057,Ac,0.0155857975,0.0155857975,GGA,P3_121,3.0
mp-1183069,Ac,0.0450913342,0.0450913342,GGA,R-3m,3.0
mp-862690,Ac,0.0,0.0,GGA,P6_3/mmc,4.0
mp-1183157,AcTh,0.1678758637,0.1678758637,GGA,P-6m2,2.0
mp-985303,Ac3Th,0.1297028781,0.1297028781,GGA,P6_3/mmc,8.0
mp-1183258,AcTh3,0.1328767556,0.1328767556,GGA,P6_3/mmc,8.0
mp-1181019,Mo,0.3319625069,0.3319625069,GGA,P2_1,16.0
mp-1180307,Mo,0.3989452844,0.3989452844,GGA,C2/m,16.0
mp-1190217,Mo,0.478859335,0.478859335,GGA,P2/c,16.0
mp-1066523,Mo,0.44212646,0.44212646,GGA,P6_3/mmc,4.0
mp-2647013,Mo,0.429178525,0.429178525,GGA,P6_3/mmc,2.0
mp-1186367,Pa,0.028191945,0.028191945,GGA,P6_3/mmc,2.0
mp-1006127,Pa3Mo,0.2115928625,0.2115928625,GGA,P6_3/mmc,8.0
mp-1102666,Pb,0.1159255817,0.1159255817,GGA,I4/mcm,12.0
mp-1057273,Pb,0.106767955,0.106767955,GGA,R-3m,2.0
mp-20745,Pb,0.01427132,0.01427132,GGA,P6_3/mmc,2.0
mp-1186444,Pb,0.0171267325,0.0171267325,GGA,P6_3/mmc,4.0
mp-1247117,Pb,0.262423895,0.262423895,GGA,Fd-3m,2.0
mp-1104795,Sb,0.3337265186,0.3337265186,GGA,P-1,14.0
mp-1179613,Sb,0.3332933121,0.3332933121,GGA,P-1,14.0
mp-1179618,Sb,0.234567615,0.234567615,GGA,P-1,14.0
mp-1236935,Sb,0.2678947943,0.2678947943,GGA,P-1,14.0
mp-80,Sb,0.29033183,0.29033183,GGA,P6_3/mmc,2.0
mp-567409,Sb,0.1208945625,0.1208945625,GGA,P2_1/m,4.0
mp-632286,Sb,0.05888531,0.05888531,GGA,P2_1/m,2.0
mp-1179605,Sb,0.050482345,0.050482345,GGA,P2_1/m,2.0
mp-567144,Sb,0.270596295,0.270596295,GGA,I4/mcm,4.0
mp-104,Sb,0.0,0.0,GGA,R-3m,2.0
mp-1187678,ThNp3,0.5829069284,0.5829069284,GGA,I4/mmm,4.0
mp-981435,LaNp3,0.7060522347,0.7060522347,GGA,Pm-3m,4.0
mp-26,La,0.0,0.0,GGA,P6_3/mmc,4.0
mp-1186440,Pm,0.0026263158,0.0026263158,GGA,R-3m,3.0
mp-867200,Pm,0.0,0.0,GGA,P6_3/mmc,4.0
mp-1186621,PmNp,0.6040181819,0.6040181819,GGA,P-6m2,2.0
mp-1186578,Pm3Np,0.3876951234,0.3876951234,GGA,P6_3/mmc,8.0
mp-1186513,Pm3Hf,0.1877127819,0.1877127819,GGA,I4/mmm,4.0
mp-1186505,Pm3Hf,0.1837607819,0.1837607819,GGA,Pm-3m,4.0
mp-1009460,Hf,0.04517005,0.04517005,GGA,P6/mmm,3.0
mp-103,Hf,0.0,0.0,GGA,P6_3/mmc,2.0
mp-1186582,PmHf,0.2603762213,0.2603762213,GGA,P-6m2,2.0
mp-1183097,Ac3Mo,0.6916704356000001,0.6916704356000001,GGA,I4/mmm,4.0
mp-1183104,Ac3Nb,0.5568038581,0.5568038581,GGA,I4/mmm,4.0
mp-1094120,Nb,0.189748285,0.189748285,GGA,P1,12.0
mp-1104341,Nb,0.0232133514,0.0232133514,GGA,C2/m,7.0
mp-2647103,Nb,0.30251796,0.30251796,GGA,P6_3/mmc,2.0
mp-1183255,AcNb3,0.5851438669,0.5851438669,GGA,Fm-3m,4.0
mp-1183241,AcPm3,0.0417509538,0.0417509538,GGA,I4/mmm,4.0
mp-1183264,AcPm3,0.052157255,0.052157255,GGA,P6_3/mmc,8.0
mp-1183109,Ac3Pm,0.0492981887,0.0492981887,GGA,P6_3/mmc,8.0
mp-1186658,PmTh3,0.0438623881,0.0438623881,GGA,Pm-3m,4.0
mp-1186545,Pm3Th,0.0730146744,0.0730146744,GGA,I4/mmm,4.0
mp-158,As,0.023006905,0.023006905,GGA,Cmce,4.0
mp-1182332,As,1.0904498,1.0904498,GGA,P4/mmm,2.0
mp-1238842,As,0.4118911483,0.4118911483,GGA,I4/mmm,3.0
mp-11,As,0.0,0.0,GGA,R-3m,2.0
mp-1186535,PmAs3,-0.5262295506,0.0054729925,GGA,I4/mmm,4.0
mp-1186534,PmAs3,-0.5317025431,0.0,GGA,Pm-3m,4.0
mp-1184205,Er3Np,0.3491226203,0.3491226203,GGA,Pm-3m,4.0
mp-1184412,ErNp3,0.6460167159,0.6460167159,GGA,I4/mmm,4.0
mp-1006245,ErNp3,0.6838113834,0.6838113834,GGA,Pm-3m,4.0
mp-1184115,Er,0.0,0.0,GGA,R-3m,3.0
mp-99,Er,0.00667915,0.00667915,GGA,P6_3/mmc,2.0
mp-1184113,Er,0.00785005,0.00785005,GGA,P6_3/mmc,4.0
mp-863658,PmCl3,-2.6627270956,0.0,GGA,P6_3/mmc,8.0
mp-1008394,Cl2,0.0,0.0,GGA,Cmce,4.0
mp-22848,Cl2,0.00037707,0.00037707,GGA,Cmce,4.0
mp-570778,Cl2,0.034978495,0.034978495,GGA,P4_2/ncm,16.0
mp-863657,PmCl2,-2.3483312675,0.0185372619,GGA,P4_2/mnm,6.0
mp-1186558,PmBr2,-2.0216363775,0.0452078531,GGA,P4_2/mnm,6.0
mp-862986,PmBr3,-2.3251997594,0.0,GGA,P6_3/mmc,8.0
mp-1062055,Br,0.5162640533,0.5162640533,GGA,Pm-3m,3.0
mp-982367,Pm3Zr,0.1379119269,0.1379119269,GGA,I4/mmm,4.0
mp-1186544,Pm3Zr,0.1315493181,0.1315493181,GGA,P6_3/mmc,8.0
mp-1077723,Zr,0.01574763,0.01574763,GGA,Ibam,6.0
mp-131,Zr,0.0,0.0,GGA,P6_3/mmc,2.0
mp-1186683,PmZr,0.1912380163,0.1912380163,GGA,P-6m2,2.0
mp-1060567,Ir,3.78091231,3.78091231,GGA,Pmma,2.0
mp-2647032,Ir,0.06291692,0.06291692,GGA,P6_3/mmc,2.0
mp-1186738,Pr3Np,0.3879745391,0.3879745391,GGA,Pm-3m,4.0
mp-1059528,Pr,0.009701465,0.009701465,GGA,C2/m,2.0
mp-1009594,Pr,0.031697805,0.031697805,GGA,Cmcm,2.0
mp-567630,Pr,0.0082829817,0.0082829817,GGA,P3_121,6.0
mp-1179917,Pr,0.013613315,0.013613315,GGA,P3_221,3.0
mp-981544,Pr,0.003878025,0.003878025,GGA,R-3m,3.0
mp-38,Pr,0.0,0.0,GGA,P6_3/mmc,4.0
mp-1059256,Pr,0.02894351,0.02894351,GGA,P6_3/mmc,2.0
mp-1183230,AcSm3,0.0472061331,0.0472061331,GGA,I4/mmm,4.0
mp-1183260,AcSm3,0.0505261494,0.0505261494,GGA,P6_3/mmc,8.0
mp-86,Sm,0.0009036583,0.0009036583,GGA,R-3m,3.0
mp-69,Sm,0.0,0.0,GGA,P6_3/mmc,4.0
mp-68,Sm,0.02206493,0.02206493,GGA,P6_3/mmc,2.0
mp-985547,Ac3Sm,0.0534425281,0.0534425281,GGA,P6_3/mmc,8.0
mp-1055423,Pu,0.089198675,0.089198675,GGA,P-1,4.0
mp-613989,Pu,0.0081921662,0.0081921662,GGA,P2_1/m,16.0
mp-542606,Pu,0.7908879724000001,0.7908879724000001,GGA,C2/m,17.0
mp-1179962,Pu,0.0001386687,0.0001386687,GGA,P2_1/c,8.0
mp-867305,Pu,0.15033596,0.15033596,GGA,Cmce,4.0
mp-571261,Pu,0.0,0.0,GGA,Fddd,2.0
mp-582819,Pu,0.1073028888,0.1073028888,GGA,P6_3/m,8.0
mp-10658,Dy,0.0,0.0,GGA,R-3m,3.0
mp-88,Dy,0.01737577,0.01737577,GGA,P6_3/mmc,2.0
mp-1184067,Dy,0.0041647625,0.0041647625,GGA,P6_3/mmc,4.0
mp-1183910,DyPu3,0.18942915,0.18942915,GGA,I4/mmm,4.0
mp-1018122,Tm,5.921189464999999e-16,0.0,GGA,R-3m,3.0
mp-143,Tm,0.0035789483,0.0035789483,GGA,P6_3/mmc,2.0
mp-971769,Tm,0.0105751383,0.0105751383,GGA,P6_3/mmc,4.0
mp-979010,TmPu3,0.1752930158,0.1752930158,GGA,I4/mmm,4.0
mp-1187839,TmPu3,0.1793774083,0.1793774083,GGA,P6_3/mmc,8.0
mp-1187387,TbPu,0.159754245,0.159754245,GGA,P-6m2,2.0
mp-1187760,TbPu3,0.2017835087,0.2017835087,GGA,P6_3/mmc,8.0
mp-11698,Tb,0.0,0.0,GGA,R-3m,3.0
mp-18,Tb,0.018911275,0.018911275,GGA,P6_3/mmc,2.0
mp-571249,Tb,0.0136797417,0.0136797417,GGA,P6_3/mmc,6.0
mp-56,Ba,0.015972545,0.015972545,GGA,P6_3/mmc,2.0
mp-1058581,Ba,0.018660005,0.018660005,GGA,Cmcm,2.0
mp-1096835,Ba,0.5135031275,0.5135031275,GGA,Cmcm,4.0
mp-1096840,Ba,7.525500000000001e-05,7.525500000000001e-05,GGA,Cmcm,2.0
mp-570384,Ba,0.1302275475,0.1302275475,GGA,I4/mcm,4.0
mp-1008283,Ba,0.727831655,0.727831655,GGA,P6/mmm,2.0
mp-1183337,Ba3Ac,0.1131300894,0.1131300894,GGA,I4/mmm,4.0
mp-1183376,Ba3Ac,0.1067988294,0.1067988294,GGA,P6_3/mmc,8.0
mp-1183364,BaAc3,0.1044392019,0.1044392019,GGA,P6_3/mmc,8.0
mp-2647022,Pt,0.069093715,0.069093715,GGA,P6_3/mmc,2.0
mp-1186916,Rh,0.039917125,0.039917125,GGA,P6_3/mmc,4.0
mp-2646993,Rh,0.059014695,0.059014695,GGA,P6_3/mmc,2.0
mp-1239193,Rh,0.79250642,0.79250642,GGA,Pm-3m,2.0
mp-1080694,Os,0.2305079925,0.2305079925,GGA,P2_1/c,8.0
mp-1180157,Os,3.9035489425,3.9035489425,GGA,P2_1/c,8.0
mp-49,Os,0.0,0.0,GGA,P6_3/mmc,2.0
mp-1059259,Cu,0.142905725,0.142905725,GGA,Cmcm,2.0
mp-1120774,Cu,0.159116795,0.159116795,GGA,P-3m1,6.0
mp-989695,Cu,0.005766085,0.005766085,GGA,P6_3/mmc,4.0
mp-989782,Cu,0.007491825,0.007491825,GGA,P6_3/mmc,2.0
mp-1183280,Ac3Np,0.4617171059,0.4617171059,GGA,P6_3/mmc,8.0
mp-1064244,Sc,0.11248714,0.11248714,GGA,P4/nmm,4.0
mp-567308,Sc,0.20573354,0.20573354,GGA,I4/mcm,4.0
mp-601273,Sc,0.127706965,0.127706965,GGA,P6_122,6.0
mp-1977495,Sc,0.065322405,0.065322405,GGA,P6/mmm,3.0
mp-67,Sc,0.0,0.0,GGA,P6_3/mmc,2.0
mp-1186590,Pu3Sc,0.1003522262,0.1003522262,GGA,I4/mmm,4.0
mp-975554,Pu3Sc,0.1818037912,0.1818037912,GGA,Fm-3m,4.0
mp-113,Tc,0.0,0.0,GGA,P6_3/mmc,2.0
mp-867351,Tc,0.00329851,0.00329851,GGA,P6_3/mmc,4.0
mp-1187392,Tc3Te,0.3055187721,0.5059884829,GGA,Fm-3m,4.0
mp-570459,Te,0.0436489067,0.0436489067,GGA,C2/m,3.0
mp-1064307,Te,0.1227815458,0.1227815458,GGA,P2_12_12,4.0
mp-1178952,Te,0.0491356783,0.0491356783,GGA,Pmc2_1,4.0
mp-105,Te,0.0470650058,0.0470650058,GGA,Pmma,4.0
mp-19,Te,0.0,0.0,GGA,P3_121,3.0
mp-567313,Te,2.34633e-05,2.34633e-05,GGA,P3_221,3.0
mp-1183217,AcTb3,0.0653450519,0.0653450519,GGA,I4/mmm,4.0
mp-1183099,Ac3Tb,0.0651761269,0.0651761269,GGA,P6_3/mmc,8.0
mp-1188068,ZrNp3,0.5422797159,0.5422797159,GGA,I4/mmm,4.0
mp-12707,Zr2Np,0.5425205738000001,0.5425205738000001,GGA,P6/mmm,3.0
mp-1183365,Ba3Pm,0.2094359406,0.2094359406,GGA,I4/mmm,4.0
mp-1183371,Ba3Pm,0.1907993169,0.1907993169,GGA,P6_3/mmc,8.0
mp-1183319,Ba3Pm,0.2161828981,0.2161828981,GGA,Pm-3m,4.0
mp-1183293,BaPm,0.2482590363,0.2482590363,GGA,P-6m2,2.0
mp-1183326,BaPm3,0.1911393219,0.1911393219,GGA,I4/mmm,4.0
mp-1186497,Pm3Cr,0.3616362969,0.3616362969,GGA,I4/mmm,4.0
mp-1059289,Cr,0.33590838,0.33590838,GGA,Cmcm,2.0
mp-89,Cr,0.420340105,0.420340105,GGA,P6_3/mmc,2.0
mp-17,Cr,0.0811284825,0.0811284825,GGA,Pm-3n,8.0
mp-90,Cr,0.0,0.0,GGA,Im-3m,2.0
mp-1187733,Tb3Np,0.6338201766,0.6338201766,GGA,P6_3/mmc,8.0
mp-1187330,Tb3Np,0.4011025428,0.4011025428,GGA,Pm-3m,4.0
mp-1187386,TbNp3,0.7001452784000001,0.7001452784000001,GGA,I4/mmm,4.0
mp-1217805,Ta,5.145464995,5.145464995,GGA,Cmmm,2.0
mp-1076923,Ta,5.1463825625,5.1463825625,GGA,P4/mbm,4.0
mp-1095086,Ta,1.3293143162,1.3293143162,GGA,P6_322,8.0
mp-2647044,Ta,0.28514745,0.28514745,GGA,P6_3/mmc,2.0
mp-1186650,PmTa3,0.4996445406,0.4996445406,GGA,Fm-3m,4.0
mp-982729,Sm3Np,0.3802026716,0.3802026716,GGA,P6_3/mmc,8.0
mp-1005719,Sm3Np,0.3697015816,0.3697015816,GGA,Pm-3m,4.0
mp-1183126,Ac3Pa,0.4156508694,0.4156508694,GGA,P6_3/mmc,8.0
mp-1184539,EuTh3,0.176126695,0.176126695,GGA,P6_3/mmc,8.0
mp-1184384,EuTh3,0.1462342525,0.1462342525,GGA,Pm-3m,4.0
mp-1184405,Eu3Th,0.21929682,0.21929682,GGA,I4/mmm,4.0
mp-1184429,Eu3Th,0.2273218475,0.2273218475,GGA,Pm-3m,4.0
mp-1184379,Eu3Th,0.24672141,0.24672141,GGA,Fm-3m,4.0
mp-1057315,Eu,0.015575355,0.015575355,GGA,Cmcm,2.0
mp-1077457,Eu,0.0878467833,0.0878467833,GGA,R-3c,6.0
