jid,split,energy_above_hull_ev_atom
JVASP-101868,val,4.51264919
JVASP-110765,val,0
JVASP-115476,val,4.0340682970833335
JVASP-22381,val,1.621909758181818
JVASP-28366,val,0.6170662377777776
JVASP-74940,val,1.9083989000000003
JVASP-70911,val,3.2429016625
JVASP-44532,val,2.8463315302955667
JVASP-101129,val,2.4255125357142857
JVASP-41287,val,0.4390649100000001
JVASP-7863,val,1.4584889749999999
JVASP-50060,val,0.7511615250000001
JVASP-58233,val,5.196412850000001
JVASP-29212,val,3.821165830555556
JVASP-75625,val,3.8499564543749996
JVASP-105613,val,0
JVASP-20429,val,0.13094400000000006
JVASP-24951,val,0
JVASP-100557,val,0
JVASP-50835,val,0.3758434833333334
JVASP-106348,val,2.0966710853448274
JVASP-28628,val,4.208982175
JVASP-39037,val,5.52232911875
JVASP-18078,val,1.442839775
JVASP-25665,val,2.500279172222222
JVASP-52234,val,0
JVASP-1567,val,0.54678625
JVASP-110092,val,1.0098441783333332
JVASP-35074,val,0.7121418694444444
JVASP-14736,val,0.041360986111111164
JVASP-66053,val,0.18396146500000002
JVASP-109671,val,3.1339639
JVASP-5566,val,1.1434154250000002
JVASP-106930,val,1.62426855
JVASP-8026,val,2.0125513333333336
JVASP-67171,val,4.270187833333333
JVASP-18642,val,0
JVASP-101525,val,0.07785
JVASP-21731,val,2.3237613500000007
JVASP-37355,val,0.6324759719999999
JVASP-99964,val,1.455641768275862
JVASP-10711,val,0.9506451466666668
JVASP-210,val,2.1772143333333336
JVASP-15847,val,0.24003549999999985
JVASP-17320,val,3.6314339361111116
JVASP-53085,val,0.8600457525000001
JVASP-42106,val,0
JVASP-86184,val,0.0035589579999999177
JVASP-18784,val,3.2565125500000005
JVASP-104,val,1.4768151111111112
JVASP-37806,val,3.203054566666667
JVASP-27532,val,2.3284441336363635
JVASP-111592,val,2.7100717
JVASP-17660,val,0.22950655666666675
JVASP-15338,val,0.7569330066666667
JVASP-8052,val,1.5443093642857142
JVASP-116186,val,1.2151230187499997
JVASP-28640,val,4.125949575000001
JVASP-65689,val,0.3862356841666667
JVASP-116328,val,1.8117227500000002
JVASP-8413,test,1.9672935799999998
JVASP-110205,test,2.7337453999999997
JVASP-118267,test,1.5632093999999999
JVASP-119208,test,0
JVASP-44231,test,1.1346204714285717
JVASP-105860,test,0.00015750000000000486
JVASP-13022,test,0
JVASP-78313,test,0.5854794117647057
JVASP-5491,test,2.3005462454545453
JVASP-93894,test,1.44071095
JVASP-74584,test,1.4890693166666664
JVASP-100871,test,1.0367898608333332
JVASP-30163,test,0.2912160275000002
JVASP-64640,test,0.008977077777777745
JVASP-41214,test,0
JVASP-43732,test,0.34663306189655174
JVASP-118511,test,1.7058449699999996
JVASP-116329,test,1.5479255833333336
JVASP-110901,test,4.79678472
JVASP-65038,test,3.4214971999999997
JVASP-112284,test,2.052540883333333
JVASP-66298,test,1.4251931566666667
JVASP-7728,test,0.08581449583333338
JVASP-69752,test,2.79538455
JVASP-114556,test,0
JVASP-36348,test,3.15438785
JVASP-117650,test,1.22875734
JVASP-4186,test,0.45868654611111115
JVASP-119445,test,0.9453570000000003
JVASP-103033,test,2.8406634124999997
JVASP-115744,test,3.269424849999999
JVASP-105701,test,1.8964277999999999
JVASP-108806,test,1.5135797209999997
JVASP-11394,test,1.3190041937499999
JVASP-109529,test,1.5448278874999999
JVASP-108950,test,0.6492864233333333
JVASP-105097,test,2.7538267166666675
JVASP-45322,test,2.9816522645454544
JVASP-33935,test,2.408157888888889
JVASP-93180,test,0
JVASP-91325,test,2.937891222222223
JVASP-7761,test,0.012415000000000065
JVASP-37185,test,3.5259874853448276
JVASP-39045,test,2.51351884375
JVASP-34525,test,1.7795480340000003
JVASP-71745,test,2.7745253375
JVASP-16235,test,4.590625873333332
JVASP-52504,test,3.9784741961538463
JVASP-112753,test,1.18493192
JVASP-103098,test,1.6730962833333332
JVASP-50802,test,3.774667489318181
JVASP-17181,test,0
JVASP-86371,test,0.3094116250000001
JVASP-106422,test,0
JVASP-61617,test,3.3448273235344823
JVASP-90723,test,2.1548014675
JVASP-71073,test,2.08270115
JVASP-116584,test,4.7468860444444445
JVASP-39855,test,3.5527684666666666
JVASP-101047,test,2.2552477239999997
