sample_id,composition,gfa
145,Al2Ni29B19,1
48,Al13Ni6Mo,1
1940,Fe80B7P13,1
3114,Mn7Al33Si10,1
4161,Ti13Be5Si2,0
4990,Zr2(CrFe5)3,1
3043,Mn3Al47,0
4885,Zr13V10Ni27,1
2140,Gd3Al2,1
127,Al24Fe,0
1690,Fe43Ni43B14,1
3907,Si3Ni14C3,0
4049,Sr6.5La66Cu27.5,1
4335,Ti3Si,0
4139,Ti11Si4Ni5,0
4956,Zr16Si3Mo,1
4185,Ti15Be2Si3,0
4320,Ti3Cu2Ni5,0
2057,Fe85Si2B13,0
4005,Sm4Al21,1
5405,Zr66.8Fe33Ni0.2,1
94,Al19Cr5Ge26,1
4953,Zr16Co71B13,1
2995,Mn2Al47Co,0
5356,Zr6(AlNi)7,1
4577,Y11Al89,1
5387,Zr63.65V5Ni31.35,1
256,Al4Ni35B11,1
394,Al88.5Fe3Ni8.5,1
151,Al30Cr9Si11,0
64,Al14Ni5Mo,1
5493,Zr7Al3,0
117,Al22Ni3,0
1191,Cr5(Fe14B)3,1
3924,Si4B11Mo35,1
2621,La7.5Zr7.5Al85,1
1233,Cr7(Co7C2)2,0
5023,Zr29V10Ni11,1
3842,Si16.5Pd77.5Au6,1
2179,Hf10Cu7Ni3,1
1181,Cr42Ni31Mo27,1
234,Al49Co10Si41,1
2828,Mg3Cu2,1
351,Al8(Ni11B3)3,1
2773,Mg13Zn7,1
2537,La3Mg16Ni,0
37,Al12V3Cu5,0
5396,Zr66.85Cr33Ni0.15,1
2437,La15Al4Ni,1
972,Co3MoC,1
3165,MnFe89B10,0
3601,Ni18B6C,0
3059,Mn43(Co11B8)3,1
1028,Co7MoC2,1
5144,Zr3Cu6Ni,1
5252,Zr5(FeNi4)9,1
4504,TiAl3Cu,0
3848,Si16.5Pd80Au3.5,1
1345,Cu5.8Si19.5Pd74.7,1
2651,La83Al5Ni12,1
4934,Zr15Si302,1
4371,Ti4CuNi5,0
