sample_id,point_id,x,intensity,space_group_number,space_group_symbol
simxrd-01,0,8.840224551997117,1.9536989788671892,62,P
simxrd-01,1,8.822634439060973,2.455323392129883,62,P
simxrd-01,2,8.805114455754651,3.413102433808099,62,P
simxrd-01,3,8.787664184051787,3.3215346658432305,62,P
simxrd-01,4,8.770283209241782,2.0852557406742496,62,P
simxrd-01,5,8.752971119897012,2.715209627739691,62,P
simxrd-01,6,8.735727507840384,2.4342868235226134,62,P
simxrd-01,7,8.718551968113319,3.400178955137981,62,P
simxrd-01,8,8.70144409894407,1.8792677654444911,62,P
simxrd-01,9,8.684403501716453,3.5277419599064714,62,P
simxrd-01,10,8.667429780938924,3.6827422884977334,62,P
simxrd-01,11,8.650522544214013,2.9837382760301088,62,P
simxrd-01,12,8.633681402208131,3.498996584986025,62,P
simxrd-01,13,8.616905968621731,3.2190898651460196,62,P
simxrd-01,14,8.6001958601598,1.9544862868519115,62,P
simxrd-01,15,8.583550696502712,3.5311944453169715,62,P
simxrd-01,16,8.566970100277409,2.046029774127141,62,P
simxrd-01,17,8.550453697028924,3.5536026302767785,62,P
simxrd-01,18,8.534001115192222,3.4414942915915505,62,P
simxrd-01,19,8.517611986064392,3.1317844355429774,62,P
simxrd-01,20,8.501285943777113,3.5396467401844287,62,P
simxrd-01,21,8.48502262526949,2.011918919570063,62,P
simxrd-01,22,8.468821670261178,3.366515609951772,62,P
simxrd-01,23,8.452682721225793,3.4053757734768366,62,P
simxrd-01,24,8.436605423364666,2.935847235744915,62,P
simxrd-01,25,8.420589424580877,2.4629941924787873,62,P
simxrd-01,26,8.404634375453579,2.24227970082384,62,P
simxrd-01,27,8.388739929212633,3.815559707202132,62,P
simxrd-01,28,8.372905741713513,2.318975109791691,62,P
simxrd-01,29,8.357131471412501,3.1098157245516305,62,P
simxrd-01,30,8.341416779342172,3.0619813120340336,62,P
simxrd-01,31,8.325761329087145,2.218705245920126,62,P
simxrd-01,32,8.310164786760103,2.304138661505461,62,P
simxrd-01,33,8.294626820978106,3.3030500905180094,62,P
simxrd-01,34,8.279147102839145,2.679724870085943,62,P
simxrd-01,35,8.26372530589896,2.9839260804444994,62,P
simxrd-01,36,8.248361106148145,2.283395464531927,62,P
simxrd-01,37,8.233054181989472,3.564293424670313,62,P
simxrd-01,38,8.217804214215498,3.1972807871495132,62,P
simxrd-01,39,8.202610885986395,2.6365409871909997,62,P
simxrd-01,40,8.187473882808051,3.6939758919806858,62,P
simxrd-01,41,8.1723928925104,3.3101707972577867,62,P
simxrd-01,42,8.157367605225984,3.8433908311074694,62,P
simxrd-01,43,8.142397713368773,3.3063916589188898,62,P
simxrd-01,44,8.127482911613207,3.6069585007715683,62,P
simxrd-01,45,8.112622896873457,3.9051387674193694,62,P
simxrd-01,46,8.09781736828294,4.014479300090021,62,P
simxrd-01,47,8.083066027174032,2.4540684016483185,62,P
simxrd-01,48,8.068368577058028,3.3067197213358814,62,P
simxrd-01,49,8.053724723605292,2.7983398551158367,62,P
simxrd-01,50,8.039134174625653,3.5522905999210908,62,P
simxrd-01,51,8.024596640048992,3.2989303400820784,62,P
simxrd-01,52,8.010111831906059,2.954782577496777,62,P
simxrd-01,53,7.9956794643094735,3.7018164014888812,62,P
simxrd-01,54,7.9812992534349565,4.091874103959919,62,P
simxrd-01,55,7.966970917502749,4.060252799062068,62,P
simxrd-01,56,7.952694176759238,3.5664223742375194,62,P
simxrd-01,57,7.938468753458769,3.2896099931402594,62,P
simxrd-01,58,7.9242943718456775,2.46506760487226,62,P
simxrd-01,59,7.910170758136489,3.048531650865244,62,P
simxrd-01,60,7.896097640502315,3.6760255273090343,62,P
simxrd-01,61,7.882074749051462,2.941403441867964,62,P
simxrd-01,62,7.868101815812175,3.6550271848019866,62,P
simxrd-01,63,7.854178574715624,3.847355563225012,62,P
simxrd-01,64,7.840304761579019,4.037399364635599,62,P
simxrd-01,65,7.826480114088948,4.325547355761415,62,P
simxrd-01,66,7.812704371784861,2.695652248006581,62,P
simxrd-01,67,7.798977276042737,2.938924165891602,62,P
simxrd-01,68,7.785298570058931,3.913917523093719,62,P
simxrd-01,69,7.771667998834185,3.5891736481636243,62,P
simxrd-01,70,7.758085309157807,4.262100005813966,62,P
simxrd-01,71,7.744550249592015,3.416785969495144,62,P
simxrd-01,72,7.731062570456454,4.316268263376958,62,P
simxrd-01,73,7.7176220238128606,3.473409666935627,62,P
simxrd-01,74,7.704228363449903,2.909984347733545,62,P
simxrd-01,75,7.690881344868162,3.783081343619364,62,P
simxrd-01,76,7.677580725265285,2.7274096958113705,62,P
simxrd-01,77,7.664326263521295,4.428099091700438,62,P
simxrd-01,78,7.651117720184025,4.112870256577212,62,P
simxrd-01,79,7.637954857454737,2.708794946423236,62,P
simxrd-01,80,7.624837439173876,3.614092344132048,62,P
simxrd-01,81,7.611765230806962,4.4567124278795855,62,P
simxrd-01,82,7.598737999430639,3.013719444527982,62,P
simxrd-01,83,7.585755513718872,4.460731983208476,62,P
simxrd-01,84,7.572817543929261,3.248072222913223,62,P
simxrd-01,85,7.559923861889535,3.0692001404431997,62,P
simxrd-01,86,7.54707424098414,3.659780023741117,62,P
simxrd-01,87,7.534268456140997,4.3512786577489075,62,P
simxrd-01,88,7.521506283818386,4.4771451543707785,62,P
simxrd-01,89,7.508787501991953,3.0746778339193916,62,P
simxrd-01,90,7.496111890141861,3.1142491856468815,62,P
simxrd-01,91,7.483479229240069,2.898273923855073,62,P
simxrd-01,92,7.470889301737737,2.945378309720618,62,P
simxrd-01,93,7.458341891552756,3.822939956121315,62,P
simxrd-01,94,7.445836784057422,4.411786344667708,62,P
simxrd-01,95,7.433373766066202,3.665870960716741,62,P
simxrd-01,96,7.42095262582365,3.797948154757786,62,P
simxrd-01,97,7.408573152992436,3.258577547243627,62,P
simxrd-01,98,7.396235138641489,3.315553063078069,62,P
simxrd-01,99,7.383938375234278,4.271010339511469,62,P
simxrd-01,100,7.371682656617178,3.1656691835352517,62,P
simxrd-01,101,7.359467778007981,3.9495328243480956,62,P
simxrd-01,102,7.3472935359845115,3.441918839178489,62,P
simxrd-01,103,7.335159728473351,3.6070339992592535,62,P
simxrd-01,104,7.323066154738679,3.846214677338075,62,P
simxrd-01,105,7.311012615371226,3.767273212089209,62,P
simxrd-01,106,7.298998912277331,3.090203588487005,62,P
simxrd-01,107,7.287024848668111,2.9967161410354493,62,P
simxrd-01,108,7.2750902290487325,4.650950727371396,62,P
simxrd-01,109,7.2631948592077995,3.7593078178904826,62,P
simxrd-01,110,7.251338546206834,4.415086090533454,62,P
simxrd-01,111,7.23952109836986,4.62367466811691,62,P
simxrd-01,112,7.227742325273101,4.335188152499198,62,P
simxrd-01,113,7.216002037734772,3.4144586868308635,62,P
simxrd-01,114,7.204300047804961,3.075487892994946,62,P
simxrd-01,115,7.192636168755625,3.486786974060033,62,P
simxrd-01,116,7.18101021507068,4.228752822056436,62,P
simxrd-01,117,7.169422002436176,4.006445688590587,62,P
simxrd-01,118,7.1578713477305795,4.72322911481406,62,P
simxrd-01,119,7.146358069015151,3.627941853132494,62,P
simxrd-01,120,7.134881985524403,3.190250571798733,62,P
simxrd-01,121,7.123442917656662,4.395146024316548,62,P
simxrd-01,122,7.112040686964715,3.2457387416462757,62,P
simxrd-01,123,7.10067511614655,4.022075237573178,62,P
simxrd-01,124,7.089346029036189,3.419939135831155,62,P
simxrd-01,125,7.078053250594594,3.3679518957524697,62,P
simxrd-01,126,7.066796606900673,4.7710500656860235,62,P
simxrd-01,127,7.055575925142377,4.26969059561103,62,P
simxrd-01,128,7.044391033607865,4.299108616173508,62,P
simxrd-01,129,7.033241761676765,4.977295826603666,62,P
simxrd-01,130,7.022127939811515,3.5422761237673517,62,P
simxrd-01,131,7.01104939954879,3.445971500494971,62,P
simxrd-01,132,7.000005973491008,4.916263506970747,62,P
simxrd-01,133,6.988997495297904,3.246128948348312,62,P
