sentence_id,token_id,token,remark,tag
1492,0,The,Hydrothermal,O
1492,1,ZnO,Hydrothermal,O
1492,2,nanosheet,Hydrothermal,O
1492,3,-,Hydrothermal,O
1492,4,spheres,Hydrothermal,O
1492,5,with,Hydrothermal,O
1492,6,various,Hydrothermal,O
1492,7,Fe,Hydrothermal,O
1492,8,-,Hydrothermal,O
1492,9,doping,Hydrothermal,O
1492,10,contents,Hydrothermal,O
1492,11,were,Hydrothermal,O
1492,12,prepared,Hydrothermal,Starting
1492,13,by,Hydrothermal,O
1492,14,a,Hydrothermal,O
1492,15,typical,Hydrothermal,O
1492,16,hydrothermal,Hydrothermal,O
1492,17,method,Hydrothermal,O
1492,18,.,Hydrothermal,O
885,0,The,Solid-State,O
885,1,"Ln(Sr,Ca)3(Fe,Co)3O10",Solid-State,O
885,2,+,Solid-State,O
885,3,GDC,Solid-State,O
885,4,(,Solid-State,O
885,5,Nextech,Solid-State,O
885,6,",",Solid-State,O
885,7,Micro-grade,Solid-State,O
885,8,),Solid-State,O
885,9,composite,Solid-State,O
885,10,cathodes,Solid-State,O
885,11,were,Solid-State,O
885,12,prepared,Solid-State,Starting
885,13,by,Solid-State,O
885,14,ball,Solid-State,Mixing
885,15,-,Solid-State,Mixing
885,16,milling,Solid-State,Mixing
885,17,appropriate,Solid-State,O
885,18,amounts,Solid-State,O
885,19,of,Solid-State,O
885,20,"Ln(Sr,Ca)3(Fe,Co)3O10",Solid-State,O
885,21,and,Solid-State,O
885,22,GDC,Solid-State,O
885,23,for,Solid-State,O
885,24,2,Solid-State,O
885,25,days,Solid-State,O
885,26,.,Solid-State,O
6,0,Then,Sol-Gel,O
6,1,the,Sol-Gel,O
6,2,voluminous,Sol-Gel,O
6,3,and,Sol-Gel,O
6,4,foamy,Sol-Gel,O
6,5,product,Sol-Gel,O
6,6,was,Sol-Gel,O
6,7,gently,Sol-Gel,O
6,8,milled,Sol-Gel,Mixing
6,9,.,Sol-Gel,O
499,0,Subsequently,Sol-Gel,O
499,1,",",Sol-Gel,O
499,2,5,Sol-Gel,O
499,3,mmol,Sol-Gel,O
499,4,aniline,Sol-Gel,O
499,5,was,Sol-Gel,O
499,6,dissolved,Sol-Gel,Mixing
499,7,in,Sol-Gel,O
499,8,50,Sol-Gel,O
499,9,ml,Sol-Gel,O
499,10,carbon,Sol-Gel,O
499,11,tetrachloride,Sol-Gel,O
499,12,to,Sol-Gel,O
499,13,form,Sol-Gel,O
499,14,the,Sol-Gel,O
499,15,organic,Sol-Gel,O
499,16,phase,Sol-Gel,O
499,17,(,Sol-Gel,O
499,18,Solution,Sol-Gel,O
499,19,A,Sol-Gel,O
499,20,),Sol-Gel,O
499,21,.,Sol-Gel,O
1648,0,The,Solid-State,O
1648,1,preparations,Solid-State,O
1648,2,were,Solid-State,O
1648,3,quenched,Solid-State,Cooling
1648,4,rapidly,Solid-State,O
1648,5,in,Solid-State,O
1648,6,the,Solid-State,O
1648,7,solid,Solid-State,O
1648,8,CO2,Solid-State,O
1648,9,.,Solid-State,O
2140,0,After,Precipitation,O
2140,1,that,Precipitation,O
2140,2,",",Precipitation,O
2140,3,the,Precipitation,O
2140,4,resultant,Precipitation,O
2140,5,product,Precipitation,O
2140,6,was,Precipitation,O
2140,7,separated,Precipitation,Purification
2140,8,by,Precipitation,O
2140,9,filtration,Precipitation,O
2140,10,and,Precipitation,O
2140,11,dried,Precipitation,Purification
2140,12,at,Precipitation,O
2140,13,40,Precipitation,O
2140,14,°,Precipitation,O
2140,15,C,Precipitation,O
2140,16,.,Precipitation,O
141,0,After,Hydrothermal,O
141,1,the,Hydrothermal,O
141,2,solvothermal,Hydrothermal,Heating
141,3,treatment,Hydrothermal,Heating
141,4,",",Hydrothermal,O
141,5,the,Hydrothermal,O
141,6,reaction,Hydrothermal,O
141,7,system,Hydrothermal,O
141,8,was,Hydrothermal,O
141,9,cooled,Hydrothermal,Cooling
141,10,down,Hydrothermal,O
141,11,to,Hydrothermal,O
141,12,room,Hydrothermal,O
141,13,temperature,Hydrothermal,O
141,14,naturally,Hydrothermal,O
141,15,.,Hydrothermal,O
1628,0,The,Hydrothermal,O
1628,1,container,Hydrothermal,O
1628,2,was,Hydrothermal,O
1628,3,sealed,Hydrothermal,Non-altering
1628,4,and,Hydrothermal,O
1628,5,stored,Hydrothermal,Reaction
1628,6,at,Hydrothermal,O
1628,7,90,Hydrothermal,O
1628,8,°,Hydrothermal,O
1628,9,C,Hydrothermal,O
1628,10,for,Hydrothermal,O
1628,11,12,Hydrothermal,O
1628,12,h,Hydrothermal,O
1628,13,without,Hydrothermal,O
1628,14,agitation,Hydrothermal,O
1628,15,.,Hydrothermal,O
1943,0,Next,Precipitation,O
1943,1,",",Precipitation,O
1943,2,the,Precipitation,O
1943,3,yellow,Precipitation,O
1943,4,precipitates,Precipitation,O
1943,5,were,Precipitation,O
1943,6,centrifuged,Precipitation,Purification
1943,7,",",Precipitation,O
1943,8,washed,Precipitation,Purification
1943,9,by,Precipitation,O
1943,10,de-ionized,Precipitation,O
1943,11,water,Precipitation,O
1943,12,and,Precipitation,O
1943,13,absolute,Precipitation,O
1943,14,ethanol,Precipitation,O
1943,15,",",Precipitation,O
1943,16,and,Precipitation,O
1943,17,then,Precipitation,O
1943,18,dried,Precipitation,Purification
1943,19,at,Precipitation,O
1943,20,60,Precipitation,O
1943,21,°,Precipitation,O
1943,22,C,Precipitation,O
1943,23,in,Precipitation,O
1943,24,air,Precipitation,O
1943,25,for,Precipitation,O
1943,26,10,Precipitation,O
1943,27,h,Precipitation,O
1943,28,.,Precipitation,O
1434,0,The,Hydrothermal,O
1434,1,resulting,Hydrothermal,O
1434,2,white,Hydrothermal,O
1434,3,solid,Hydrothermal,O
1434,4,was,Hydrothermal,O
1434,5,filtered,Hydrothermal,Purification
1434,6,off,Hydrothermal,O
1434,7,and,Hydrothermal,O
1434,8,dried,Hydrothermal,Purification
1434,9,in,Hydrothermal,O
1434,10,vacuum,Hydrothermal,O
1434,11,.,Hydrothermal,O
2080,0,Excess,Solid-State,O
2080,1,amounts,Solid-State,O
2080,2,of,Solid-State,O
2080,3,Na2O,Solid-State,O
2080,4,(,Solid-State,O
2080,5,80,Solid-State,O
2080,6,%,Solid-State,O
2080,7,Na2O,Solid-State,O
2080,8,",",Solid-State,O
2080,9,20,Solid-State,O
2080,10,%,Solid-State,O
2080,11,Na2O2,Solid-State,O
2080,12,",",Solid-State,O
2080,13,Sigma,Solid-State,O
2080,14,Aldrich,Solid-State,O
2080,15,),Solid-State,O
2080,16,and,Solid-State,O
2080,17,NiO,Solid-State,O
2080,18,(,Solid-State,O
2080,19,99,Solid-State,O
2080,20,%,Solid-State,O
2080,21,",",Solid-State,O
2080,22,Alfa,Solid-State,O
2080,23,Aesar,Solid-State,O
2080,24,),Solid-State,O
2080,25,were,Solid-State,O
2080,26,mixed,Solid-State,Mixing
2080,27,and,Solid-State,O
2080,28,ball,Solid-State,Mixing
2080,29,milled,Solid-State,Mixing
