sample_id,formula_from_sites,n_sites,volume_a3,a_a,b_a,c_a,alpha_deg,beta_deg,gamma_deg,refractive_index_n
0,K6S6,12,378.0116276132244,8.58608286,8.586082863673552,5.92085433,90.0,90.0,119.99999998584686,1.752063640396657
4,CoLi2O4Si,8,83.72649099729853,4.367465710915204,4.365708358985286,11.966329275132209,24.188114573770775,79.43833560198865,89.93574257858356,1.7932323701442967
8,MoSe2,3,70.6116948462732,7.609217515378548,7.609217515848695,7.609217524794308,25.261639595134582,25.26163959569327,25.26163957819137,3.3691739838376953
12,Cu2O4Rb2,8,162.09940560144992,4.93420404843543,5.50584038,6.456714849771835,90.0,112.46373855123507,90.0,2.0107925468995194
16,CMnN2,4,47.04078425937275,5.171485678013843,5.171485673532207,5.17148567838122,37.992081082835014,37.99208118995246,37.99208111028327,2.3237190736690407
20,O24Si12,36,730.5069348806485,9.00619711,9.00619711,9.00619711,90.0,90.0,90.0,1.3754999091239513
24,CdGeTe4Tl2,8,266.7732702550969,7.073416803060559,7.073416500423623,7.07341743240772,104.95391753787716,104.95391678530466,118.94146562900735,3.7103414038782647
28,Ag2HgI4,7,280.26669061361844,6.5663899,6.5663899,6.50007177,90.0,90.0,90.0,2.3173647389509777
32,Cu3K3P2,8,188.88107478661263,7.429814923471186,7.429814924916865,7.429814921544309,45.322393124414035,45.32239312293408,45.32239309776477,2.697724164303435
36,Ca8Cl12O2,22,500.53254529490727,9.14337608,9.143376078584067,6.91334966,90.0,90.0,120.0000000051227,1.7971544174054714
40,Ge2Na4O6,12,172.98071601880687,4.99944771,6.31393970225841,6.324248706743828,119.94609209841417,90.0,90.0,1.706842015731587
44,Ga2Ge2Te2,6,179.70537910414743,12.41739862035769,12.417398619811769,12.417398620101764,19.12857876858839,19.12857876412935,19.128578762899657,7.057081313593224
48,K4O4Zn2,10,176.46884081087325,5.500318476585039,6.093193847698059,6.676080819202693,117.1515152396192,114.32689760392638,89.99999997449012,1.8209356569265847
52,Ag4S2,6,146.37833282475358,4.345211000773244,5.89856393,6.369336929617375,90.0,116.27818295366625,90.0,2.6869483309757434
56,O8Si4,12,179.23243254449127,5.205853106471864,5.6209484427422005,6.600519443374636,69.30417577397728,89.43534600908042,83.03348213038409,1.507309413049181
60,O6Pt3Zn,10,116.87226493352038,3.22384455,6.1883115442057255,6.188311541472195,108.7984772565906,90.0,90.0,3.9697187137965515
64,F6RbSb,8,143.02623904629786,5.26807608843633,5.268076088651134,5.2680760960027175,96.62362742228633,96.62362744796326,96.62362730701687,1.4052790944625002
68,Ag2Na4Sb2,8,215.732402811669,5.83357322,6.122896344133369,6.122896343967796,99.44923263229357,90.0,90.0,3.4746702481438385
