material_id,primitive_formula,full_formula,pretty_formula,nsites,spacegroup,nelements,elements_list,CrystalSystem,category
mp-20132,InHg,In3Hg3,InHg,2,166,2,Hg In,Trigonal,binary_medium
mp-1169,ScCu,ScCu,ScCu,2,221,2,Cu Sc,Cubic,binary_easy
mp-30501,Ti2Cd,Ti4Cd2,Ti2Cd,3,139,2,Cd Ti,Tetragonal,binary_hard
mp-30725,YHg2,YHg2,YHg2,3,191,2,Hg Y,Hexagonal,binary_medium
mp-20730,HfCo2Sn,Hf4Co8Sn4,HfCo2Sn,4,225,3,Co Hf Sn,Cubic,ternary_easy
mp-30591,Li2CuSn,Li8Cu4Sn4,Li2CuSn,4,216,3,Cu Li Sn,Cubic,ternary_easy
mp-30648,LiMg2Ga,Li4Mg8Ga4,LiMg2Ga,4,225,3,Ga Li Mg,Cubic,ternary_easy
mp-30580,SrGaCu2,Sr3Ga3Cu6,SrGaCu2,4,166,3,Cu Ga Sr,Trigonal,ternary_medium
mp-2731,TiGa3,Ti2Ga6,TiGa3,4,139,2,Ga Ti,Tetragonal,binary_medium
mp-30493,ZnCdPt2,ZnCdPt2,ZnCdPt2,4,123,3,Cd Pt Zn,Tetragonal,ternary_medium
mp-2510,ZrHg,ZrHg,ZrHg,4,123,2,Hg Zr,Tetragonal,binary_medium
mp-29241,Ca3SnO,Ca3SnO,Ca3SnO,5,221,3,Ca O Sn,Cubic,ternary_easy
mp-454,NaGa4,Na2Ga8,NaGa4,5,139,2,Ga Na,Tetragonal,binary_hard
mp-1827,SrGa4,Sr2Ga8,SrGa4,5,139,2,Ga Sr,Tetragonal,binary_hard
mp-3676,MgCu4Sn,Mg4Cu16Sn4,MgCu4Sn,6,216,3,Cu Mg Sn,Cubic,ternary_hard
mp-30587,MgInCu4,Mg4In4Cu16,MgInCu4,6,216,3,Cu In Mg,Cubic,ternary_hard
