sample_id,formula_from_sites,n_sites,log10_k_vrh,log10_g_vrh
0,Ag2CaGe2,5,1.7075701760979363,1.4471580313422192
10,Al3Tm,4,1.8864907251724818,1.7708520116421442
20,Al2Ba3Si2,7,1.5440680443502757,1.3424226808222062
30,Al2CaGa2,5,1.7634279935629373,1.4471580313422192
40,Ge5Yb3,8,1.414973347970818,1.462397997898956
50,Cu3K3P2,8,1.4471580313422192,1.0791812460476249
60,Au4O6,10,1.9084850188786497,1.5797835966168101
70,Ag4S2,6,1.0791812460476249,0.8450980400142568
80,Fe3Ge3Sc3,9,2.0043213737826426,1.724275869600789
90,Al4O12Sm4,20,2.2576785748691846,2.041392685158225
100,Bi4K2,6,1.4771212547196624,0.47712125471966244
110,Ge2Sb2Zr2,6,1.9912260756924949,1.863322860120456
120,Cu4Mg4P4,12,1.9731278535996986,1.6812412373755872
130,AgEr2Tl,4,1.7993405494535817,1.3424226808222062
140,Ba6N2Na2,10,1.0413926851582251,0.47712125471966244
150,BaGe2Li2Mg2,7,1.5314789170422551,1.4771212547196624
160,BaMg2P2,5,1.7075701760979363,1.5797835966168101
170,K2P2Zn2,6,1.5563025007672873,1.414973347970818
180,Au2CdSm,4,1.9030899869919435,0.3010299956639812
190,As12Rh4,16,2.0644579892269186,1.8573324964312685
200,Al2HgTe4,7,1.414973347970818,1.2041199826559248
210,Pd8Sb4,12,2.103803720955957,1.591064607026499
220,AsY,2,1.8750612633917,1.7075701760979363
230,MgRh,2,2.060697840353612,1.7634279935629373
240,Ge2SrZn2,5,1.7403626894942439,1.380211241711606
250,Al36Mg6Ti4,46,1.8976270912904414,1.7075701760979363
260,Cu2LiP2,5,1.9590413923210936,1.5563025007672873
270,Cd2DyMg,4,1.7323937598229686,1.3979400086720377
280,Hg2Sm6,8,1.6434526764861874,1.255272505103306
290,As2Ca4O,7,1.724275869600789,1.6020599913279623
300,Co2ScSn,4,2.1335389083702174,1.8692317197309762
310,Al2Si2Sr3,7,1.6334684555795864,1.4913616938342726
320,Li4N8Nb4,16,2.0492180226701815,1.7634279935629373
330,Al2HgSe4,7,1.505149978319906,1.2787536009528289
340,B2K6P4,12,1.255272505103306,0.8450980400142568
350,MnRhTi2,4,2.278753600952829,1.9084850188786497
360,Ge3PdSr,5,1.7403626894942439,1.4313637641589874
370,Ba2Pd2Sb4,8,1.7403626894942439,1.380211241711606
380,SeYb,2,1.7160033436347992,1.5563025007672873
390,AuPdYb2,4,1.7403626894942439,1.3979400086720377
400,F2K2O4S2,10,1.0791812460476249,0.8450980400142568
410,As4Cd2Ge2,8,1.7160033436347992,1.4313637641589874
420,B2Mo2Ni,5,2.4712917110589387,2.2528530309798933
430,AuInZr,3,2.0492180226701815,1.662757831681574
440,P16Si8,24,1.0791812460476249,1.0
450,Mn8N4,12,2.296665190261531,1.99563519459755
460,CoIrSc2,4,2.155336037465062,1.8195439355418688
470,F6MgRh,8,1.4313637641589874,1.4313637641589874
480,O7Sc2Si2,11,2.2013971243204513,1.8573324964312685
490,AsCa3Cl3,7,1.591064607026499,1.380211241711606
500,O7Si2Y2,11,2.143014800254095,1.7708520116421442
510,Ge4Nd2Ni2,8,1.9242792860618816,1.6901960800285136
520,AlCo2Sc,4,2.1702617153949575,1.9590413923210936
530,C16,16,2.0718820073061255,1.9590413923210936
540,Br2K4O,7,1.2304489213782739,0.9542425094393249
550,F6NaRb2Sb,10,1.6434526764861874,1.255272505103306
560,Cd2MgY,4,1.7160033436347992,1.3979400086720377
570,As8O40Rb8Ti8,64,1.8195439355418688,1.5797835966168101
580,Te4Zr5,9,1.8260748027008264,1.5563025007672873
590,Pt4Y4,8,2.03342375548695,1.5440680443502757
600,C4N24Si16Y8,52,2.2227164711475833,2.0043213737826426
610,Ca4Mg4Pb4,12,1.5563025007672873,1.414973347970818
620,CFe2Lu2Si2,7,2.1492191126553797,1.9294189257142926
630,As4Rh6Yb,11,2.230448921378274,1.7781512503836436
640,Au2LaNa,4,1.845098040014257,1.2041199826559248
650,Ca12O36Si12,60,1.9637878273455553,1.6720978579357175
660,As2Fe2K,5,1.6812412373755872,1.3617278360175928
670,Ga3Mg3Y3,9,1.7781512503836436,1.6812412373755872
680,AgEr2In,4,1.8388490907372552,1.3617278360175928
690,NdO2Rb,4,1.8325089127062364,1.6020599913279623
700,Mg2PtRh,4,2.0755469613925306,1.7708520116421442
710,C3Cr2Ho2,7,2.2227164711475833,1.8573324964312685
720,O2Pr2S,5,2.0,1.724275869600789
730,Ag2Ge2Pr,5,1.845098040014257,1.6232492903979006
740,O8Rh4Zn2,14,2.2405492482826,1.7634279935629373
750,Ga3Sc,4,1.863322860120456,1.5314789170422551
760,BiNiSc,3,1.9493900066449128,1.724275869600789
770,Cu3NbTe4,8,1.4771212547196624,1.3010299956639813
780,F6K2Pt,9,1.414973347970818,1.0
790,CaGe2Ni2,5,1.954242509439325,1.6020599913279623
800,N2SbU2,5,1.9912260756924949,1.6720978579357175
810,Cu2DySi2,5,2.0170333392987803,1.8808135922807914
