jid,bulk_modulus_kv_gpa,shear_modulus_gv_gpa
JVASP-93829,50.14,26.21
JVASP-102090,13.67,-5.12
JVASP-30450,45.5,37.08
JVASP-110328,0.0,0.0
JVASP-117800,19.67,6.44
JVASP-30242,59.51,53.33
JVASP-3882,20.73,9.56
JVASP-113553,47.06,-1.93
JVASP-40729,147.11,105.27
JVASP-18469,18.22,12.11
JVASP-40067,44.13,35.42
JVASP-62681,244.93,177.56
JVASP-29843,59.7,41.28
JVASP-16541,229.23,115.88
JVASP-64331,12.67,0.76
JVASP-14049,15.64,5.81
JVASP-42357,98.66,65.57
JVASP-111647,110.34,64.65
JVASP-100408,0.0,0.0
JVASP-113683,37.81,-4.97
JVASP-71252,106.69,32.81
JVASP-54893,109.53,1.34
JVASP-34294,99.98,9.77
JVASP-47538,67.94,38.79
JVASP-56178,84.03,41.18
JVASP-121276,8.06,2.03
JVASP-86434,165.28,111.47
JVASP-120080,6.61,-15.87
JVASP-103434,36.22,16.57
JVASP-68960,24.56,13.61
JVASP-93416,67.29,-1.65
JVASP-105494,107.0,65.82
JVASP-16565,339.56,186.03
JVASP-10687,81.98,44.03
JVASP-37783,175.2,92.76
JVASP-36673,200.5,81.78
JVASP-35744,52.64,27.91
JVASP-110430,108.1,46.8
JVASP-78649,168.23,130.08
JVASP-121193,20.21,15.09
JVASP-35672,101.93,67.86
JVASP-25144,41.22,30.63
JVASP-114282,-1.11,-1.31
JVASP-19809,79.27,28.96
JVASP-39744,91.93,34.52
JVASP-36914,17.13,9.9
JVASP-29244,36.29,20.13
JVASP-103033,66.37,45.02
JVASP-26331,78.83,43.92
JVASP-54758,34.08,22.33
JVASP-16547,12.5,5.66
JVASP-15302,107.61,71.35
JVASP-18097,196.78,92.91
JVASP-103049,313.26,172.75
JVASP-65508,51.6,19.74
JVASP-38746,33.63,12.66
JVASP-16048,64.4,40.72
JVASP-74406,144.33,54.14
JVASP-56280,6.4,1.83
JVASP-8257,112.72,66.59
JVASP-17848,86.43,9.26
JVASP-7992,42.48,25.65
JVASP-122915,131.27,59.8
JVASP-11038,38.53,45.88
JVASP-87240,32.46,-11.97
JVASP-37334,43.63,23.04
JVASP-35748,50.37,28.76
JVASP-115819,-0.71,-0.83
JVASP-17212,83.27,41.04
JVASP-113690,30.29,12.25
JVASP-8311,26.71,39.09
JVASP-16629,51.99,33.61
JVASP-116134,25.47,-7.12
JVASP-9094,216.11,90.25
JVASP-17417,221.7,92.58
JVASP-65011,88.01,31.58
JVASP-62561,220.9,98.76
JVASP-65252,99.19,17.34
JVASP-35761,165.63,80.94
JVASP-840,17.2,11.98
JVASP-35190,154.03,94.5
JVASP-16446,108.23,20.0
JVASP-114013,70.6,40.62
JVASP-18695,136.38,47.01
JVASP-21770,41.41,17.95
JVASP-25049,16.88,11.91
JVASP-85427,128.09,40.53
JVASP-21521,25.54,10.81
JVASP-116427,36.49,-1.25
JVASP-117986,97.7,39.02
JVASP-2244,34.09,21.91
JVASP-51280,36.23,-14.62
JVASP-25398,7.72,3.07
JVASP-85547,150.78,71.03
JVASP-100187,67.27,28.36
JVASP-74679,43.51,20.21
JVASP-57447,275.82,199.03
JVASP-64581,13.9,4.08
JVASP-66503,16.8,-0.84
JVASP-40202,36.12,14.69
JVASP-114371,89.82,48.13
JVASP-22576,34.69,42.37
JVASP-106036,37.01,13.65
JVASP-118490,-0.91,-2.17
JVASP-17843,90.22,35.51
JVASP-113678,5.19,2.61
JVASP-118126,47.93,33.54
JVASP-74908,60.49,11.45
JVASP-68196,147.06,34.81
JVASP-69239,11.88,7.77
JVASP-99127,53.32,24.01
JVASP-66180,19.2,-9.66
JVASP-18155,201.77,77.14
JVASP-102888,36.57,-12.92
JVASP-115161,9.76,2.63
JVASP-16271,9.11,5.93
JVASP-67118,94.75,19.59
JVASP-7726,27.0,15.46
JVASP-106196,168.1,66.96
JVASP-40826,136.7,62.28
