sample_id,composition,gap_expt_ev
1683,Ho(CuSe)3,0.16
4161,U3Se4,0.0
4178,UGa5Ir,0.0
497,BiAs2Os,0.0
3708,SrIn4Pt,0.0
3645,Sr0.5Ta1O3,3.7
1471,Ga4SnS7,3.1
737,Ce1.3Lu0.7S3,1.25
3842,TbYHg2,0.0
788,CeAl3Ni2,0.0
3563,SmNiC2,0.0
904,Cs1.13Cd1.13Bi2.87Se6,1.0
3489,Sm1.82Lu2.18Se6,1.51
2961,NdBi,0.0
3266,RbHg3,0.0
1600,Hf2Ge,0.0
1375,FeAg3(CN)6,0.0
2809,Na8(CuO2)5,0.0
945,Cs2Te,3.5
592,CaB6,4.5
46,Al0.01Cd0.99Sb0.01Te0.99,1.6
1806,In1Sb0.8As0.2,0.21
56,Al0.3Ga0.7As1,1.81
2322,Li3Mo2P5O18,0.0
68,Al0.8Ga0.2P1,2.43
3525,Sm4InSbS9,2.13
4202,V2Si2O7,0.0
157,BSb,2.6
1146,Dy(CuSe)3,0.2
1320,EuAgSb,0.0
3427,ScTlSe2,0.79
3307,Re2W3C,0.0
2552,Lu7(NiTe)2,0.0
962,Cs3Nb2AsSe11,1.35
2608,Mg3(Ni10P3)2,0.0
3179,Rb2Hg3(GeS4)2,2.8
4000,Tl0.01Te1Pb0.99,0.59
4499,ZnAs,0.9
3939,Ti2TcNi,0.0
1441,Ga1As0.9P0.1,1.5
2624,Mg5Ti13O30,0.0
4336,YVSeO10,2.7
3231,Rb6O,0.0
4326,YSbPt,0.16
3809,Tb3Si,0.0
2418,LiCa2In,0.0
1313,Eu3S4,1.7
4232,VCu3S4,1.0
1081,CsZrPSe6,2.0
3070,Pm3I,0.0
660,Cd0.7Hg0.3Se1,0.55
2195,LaTb3,0.0
4201,V2Sb(PO4)3,0.0
4024,Tl3Cr,0.0
4483,Zn2SnN2,0.0
678,Cd2PbO4,0.0
2447,LiGd5P2O13,3.73
1985,KAgAsS2,2.21
180,Ba2B6O11,5.17
3717,SrNi2(PO4)2,0.0
4271,Y2C3,0.0
2221,Li2CdGeS4,3.1
2494,LiSbSe2,0.68
3375,Sc2MnC,0.0
2580,Mg(FeO2)4,0.0
1665,HgBr,2.6
4277,Y2O3,5.6
3986,TiSe,0.0
3412,ScIr,0.0
3844,TbYbRh2,0.0
4219,V4ZnO8,0.0
3239,RbBa2(PO3)5,7.6
1184,Dy6FeTe2,0.0
2992,NdTe,0.0
917,Cs2CrCl4,0.0
3544,SmCoC2,0.0
1826,In3Bi7(Pb2S9)2,0.0
770,Ce3TaO7,0.0
3101,Pr2S3,2.6
1869,IrSeS,1.2
3641,Sr(PrS2)2,2.7
3463,Si3N4,5.1
2793,Na3Sn2ClF6,3.88
1634,HfCo3B2,0.0
2281,Li2V3CrO8,0.0
1561,Ge0.15Te0.15Pb0.85Se0.85,0.32
3153,PrTmTl2,0.0
4152,U2Re2C3,0.0
2223,Li2Co4O7F,0.0
3628,SnPt3C,0.0
369,BaGe2,1.0
3086,Pr(InS2)3,1.14
1940,K2Zn(SnSe3)2,1.71
347,BaAl4Se7,3.4
331,Ba6Al4B14O33,3.44
2350,Li4FeNi3O8,0.0
3116,PrAgAs2,0.0
4340,YZnBiO4,1.58
3768,TaCu3S4,3.0
2323,Li3Ni(SbO3)4,0.0
59,Al0.4Cd0.6Sb0.4Te0.6,1.8
